1,102,1,53.95,Fulfilled,2021-08-08 00:08:53
2,445,3,88.62,Fulfilled,2021-09-03 04:07:47
3,5339,2,57.45,Fulfilled,2021-08-25 19:44:18
4,2879,4,89.21,Fulfilled,2021-11-24 18:25:03
4,8967,2,192.22,Fulfilled,2021-10-05 19:56:39
4,2810,2,39.37,Not Fulfilled,
4,8107,3,90.68,Not Fulfilled,
4,6108,1,53.61,Fulfilled,2021-06-05 11:43:33
4,5947,4,117.37,Fulfilled,2021-06-23 15:33:22
5,9209,2,60.36,Not Fulfilled,
5,8082,4,71.16,Not Fulfilled,
5,9107,2,3.21,Fulfilled,2021-08-14 19:19:39
6,5221,1,122.73,Fulfilled,2021-02-05 17:51:59
6,1072,1,186.61,Fulfilled,2021-10-17 21:53:24
6,1424,2,49.19,Fulfilled,2021-01-18 07:00:07
6,5737,1,199.4,Fulfilled,2021-05-28 02:27:33
7,974,1,42.08,Fulfilled,2021-01-21 11:42:52
7,5975,2,72.06,Fulfilled,2021-09-27 19:07:51
7,830,2,192.91,Fulfilled,2021-07-02 15:37:15
7,2973,1,96.2,Fulfilled,2021-07-07 10:48:44
8,1398,1,7.03,Not Fulfilled,
9,2492,1,36.65,Fulfilled,2021-07-16 14:49:26
9,6928,3,84.75,Fulfilled,2021-05-16 04:52:28
9,198,2,81.35,Fulfilled,2021-04-12 05:53:48
9,1668,2,66.21,Fulfilled,2021-10-26 00:11:16
10,7300,4,83.61,Fulfilled,2021-04-18 08:44:33
10,2686,1,98.04,Fulfilled,2021-07-23 20:21:34
11,8239,1,58.41,Fulfilled,2021-10-05 11:51:47
11,2872,1,114.9,Fulfilled,2021-03-20 15:48:55
12,9088,1,61.17,Not Fulfilled,
13,9336,1,96.38,Fulfilled,2021-09-23 15:15:09
14,5276,1,90.26,Fulfilled,2021-11-16 10:18:04
14,3555,1,40.18,Fulfilled,2021-02-16 22:35:33
15,2260,1,7.76,Fulfilled,2021-11-02 06:12:20
15,8032,2,59.2,Fulfilled,2021-11-18 03:42:35
15,850,1,29.2,Fulfilled,2021-06-29 09:26:37
15,6847,1,93.03,Fulfilled,2021-07-21 03:24:02
16,2791,2,101.06,Fulfilled,2021-10-18 11:52:07
16,3777,1,11.49,Fulfilled,2021-07-06 12:33:23
16,3691,1,26.44,Fulfilled,2021-01-12 04:53:38
16,6930,1,22.84,Fulfilled,2021-03-02 09:02:33
16,2726,2,7.42,Fulfilled,2021-03-12 09:29:13
16,1231,1,54.5,Fulfilled,2021-01-14 02:25:51
17,2255,2,191.48000000000002,Fulfilled,2021-02-15 02:43:22
18,3767,4,50.83,Fulfilled,2021-10-19 17:16:40
18,3145,4,71.76,Not Fulfilled,
18,3016,4,68.43,Not Fulfilled,
18,6805,1,14.93,Not Fulfilled,
18,6920,4,91.6,Not Fulfilled,
18,8463,1,14.09,Not Fulfilled,
19,6240,3,9.8,Fulfilled,2021-05-20 15:54:32
19,8084,3,139.27,Fulfilled,2021-04-05 06:08:23
